datetime,FST_Thermocouple_Handheld,AirTemp,SolarA,dp,ws,SolarB,treatment,date,FruitSize(mm),FST_SolarA_WeatherBased,FST_SolarB_WeatherBAsed
7/14/2022 16:24,35.1,31,671,18.91548248,0.25,179,Control,7/14/2022,47,52.96,44.94
7/25/2022 12:19,29.9,30.4,793,20.90668067,0.36,77,Control,7/25/2022,47,51.88,41.49
7/25/2022 12:20,29.6,30.9,793,22.04791203,0.44,77,Control,7/25/2022,47,51.11,41.42
7/25/2022 12:24,29.56666667,31,799,20.58332085,0.55,76,Control,7/25/2022,47,49.52,40.47
7/25/2022 12:28,29.4,31.1,805,20.4026987,0.37,73,Control,7/25/2022,47,52.49,41.99
7/25/2022 12:29,30.45,30.9,805,18.62571638,0.45,76,Control,7/25/2022,47,50.6,40.8
7/25/2022 12:30,30.8,31,805,21.34973071,0.32,76,Control,7/25/2022,47,53.63,42.66
7/25/2022 12:31,30.2,29.9,792,19.89231736,0.28,75,Control,7/25/2022,47,53.07,41.75
7/25/2022 12:34,30.9,30.6,811,21.37680109,0.32,77,Control,7/25/2022,47,53.31,42.25
7/25/2022 12:35,30.9,30.5,810,22.7461897,0.52,77,Control,7/25/2022,47,49.82,40.46
7/25/2022 12:36,32.4,30.9,812,21.88116962,0.45,77,Control,7/25/2022,47,51.18,41.31
7/25/2022 13:55,32.1,32.4,844,21.93730649,0.45,104,Control,7/25/2022,47,53.16,43.29
7/25/2022 13:56,34.3,32.1,845,22.8036485,0.36,105,Control,7/25/2022,47,54.68,44.03
7/25/2022 13:57,36.25,32.1,844,22.74665985,0.49,105,Control,7/25/2022,47,52.35,42.76
7/25/2022 13:58,34,32.5,845,23.54389568,0.48,106,Control,7/25/2022,47,53.04,43.41
7/25/2022 13:59,35.46666667,32.1,846,23.96252653,0.58,105,Control,7/25/2022,47,51.33,42.28
7/25/2022 14:00,39.9,32.2,845,24.94644814,0.49,108,Control,7/25/2022,47,52.78,43.24
7/25/2022 14:04,32.76666667,32.6,844,22.27319586,0.39,108,Control,7/25/2022,47,54.49,44.19
7/25/2022 15:02,34,32.7,804,21.37634687,0.39,922,Control,7/25/2022,47,53.9,55.53
7/25/2022 15:03,41.5,33.5,802,22.3643561,0.42,921,Control,7/25/2022,47,54.31,55.91
7/25/2022 15:04,34.4,33.5,802,23.70198388,0.55,920,Control,7/25/2022,47,52.59,54.03
7/25/2022 15:05,34.55,34.2,800,26.26069892,0.64,919,Control,7/25/2022,47,52.6,53.98
7/25/2022 15:06,35.03333333,33.8,799,24.5316265,0.58,919,Control,7/25/2022,47,52.61,54.05
7/25/2022 15:07,38.1,33.8,797,27.22250439,0.56,916,Control,7/25/2022,47,53.22,54.66
7/25/2022 15:08,36.5,33.8,796,26.06936945,0.42,915,Control,7/25/2022,47,55.12,56.71
7/25/2022 15:09,40.7,34,795,22.4731398,0.36,915,Control,7/25/2022,47,55.88,57.57
7/25/2022 15:10,32.9,34,793,24.42979783,0.46,913,Control,7/25/2022,47,54.37,55.93
7/25/2022 16:29,36.5,34.9,665,24.55246972,0.5,771,Control,7/25/2022,47,53.11,54.45
7/25/2022 16:30,33.4,33.6,663,25.82780117,0.45,768,Control,7/25/2022,47,52.62,54
7/25/2022 16:31,37.75,35.1,660,25.91651276,0.52,764,Control,7/25/2022,47,53.2,54.5
7/25/2022 16:32,35.25,35,658,24.85645174,0.64,761,Control,7/25/2022,47,51.6,52.79
7/25/2022 16:33,34.63333333,34.3,655,25.42360499,0.47,758,Control,7/25/2022,47,52.89,54.23
7/25/2022 16:34,41.3,33.8,653,25.26082234,0.46,755,Control,7/25/2022,47,52.46,53.79
7/25/2022 16:35,38.9,33.1,650,24.52177817,0.43,752,Control,7/25/2022,47,52.02,53.39
7/29/2022 11:57,32.1,34.8,759,23.9684163,0.53,83,Control,7/29/2022,47,53.71,45.24
7/29/2022 11:58,33.5,34.6,761,22.12928194,0.56,83,Control,7/29/2022,47,52.89,44.55
7/29/2022 12:00,32.9,34,763,24.54567875,0.56,82,Control,7/29/2022,47,52.63,44.24
7/29/2022 12:01,32.86666667,34.3,765,25.84000657,0.6,82,Control,7/29/2022,47,52.68,44.49
7/29/2022 12:02,33.8,34.2,767,21.35485971,0.55,81,Control,7/29/2022,47,52.55,44.05
